Constituency,Const. No.,Leading Candidate,Leading Party,Trailing Candidate,Trailing Party,Margin,Status,Winning Candidate,Winning Party
Hamirpur,3,ANURAG SINGH THAKUR,Bharatiya Janata Party,RAM LAL THAKUR,Indian National Congress,98403,Result Declared,ANURAG SINGH THAKUR,Bharatiya Janata Party
Kangra,1,Kishan Kapoor,Bharatiya Janata Party,Pawan Kajal,Indian National Congress,170072,Result Declared,SHANTA KUMAR,Bharatiya Janata Party
Mandi,2,RAM SWAROOP SHARMA,Bharatiya Janata Party,AASHRAY SHARMA,Indian National Congress,39856,Result Declared,RAM SWAROOP SHARMA,Bharatiya Janata Party
Shimla,4,SURESH KUMAR KASHYAP,Bharatiya Janata Party,DHANI RAM SHANDIL,Indian National Congress,84187,Result Declared,VIRENDER KASHYAP,Bharatiya Janata Party
Anantnag,3,HASNAIN MASOODI,Jammu & Kashmir National Conference,GHULAM AHMAD MIR,Indian National Congress,,Result Declared,,
Baramulla,1,MOHAMMAD AKBAR LONE,Jammu & Kashmir National Conference,RAJA AIJAZ ALI,Jammu & Kashmir People Conference,,Result Declared,,
Jammu,6,Jugal Kishore,Bharatiya Janata Party,Raman Bhalla,Indian National Congress,,Result Declared,,
Ladakh,4,Jamyang Tsering Namgyal,Bharatiya Janata Party,Sajjad Hussain,Independent,,Result Declared,,
Srinagar,2,Farooq Abdullah,Jammu & Kashmir National Conference,Aga Syed Mohsin,Peoples Democratic Party,,Result Declared,,
Udhampur,5,DR. JITENDRA SINGH,Bharatiya Janata Party,VIKRAMADITYA SINGH,Indian National Congress,,Result Declared,,
Chatra,4,SUNIL KUMAR SINGH,Bharatiya Janata Party,MANOJ KUMAR YADAV,Indian National Congress,178026,Result Declared,SUNIL KUMAR SINGH,Bharatiya Janata Party
Dhanbad,7,PASHUPATI NATH SINGH,Bharatiya Janata Party,KIRTI AZAD,Indian National Congress,292954,Result Declared,PASHUPATI NATH SINGH,Bharatiya Janata Party
Dumka,2,SUNIL SOREN,Bharatiya Janata Party,SHIBU SOREN,Jharkhand Mukti Morcha,39030,Result Declared,SHIBU SOREN,Jharkhand Mukti Morcha
Giridih,6,Chandra Prakash Choudhary,AJSU Party,Jagarnath Mahto,Jharkhand Mukti Morcha,40313,Result Declared,RAVINDRA KUMAR PANDEY,Bharatiya Janata Party
Godda,3,Nishikant Dubey,Bharatiya Janata Party,Pradeep Yadav,Jharkhand Vikas Morcha (Prajatantrik),60682,Result Declared,NISHIKANT DUBEY,Bharatiya Janata Party
Hazaribagh,14,JAYANT SINHA,Bharatiya Janata Party,GOPAL PRASAD SAHU,Indian National Congress,159128,Result Declared,JAYANT SINHA,Bharatiya Janata Party
Jamshedpur,9,Bidyut Baran Mahato,Bharatiya Janata Party,Champai Soren,Jharkhand Mukti Morcha,99876,Result Declared,BIDYUT BARAN MAHATO,Bharatiya Janata Party
Khunti,11,ARJUN MUNDA,Bharatiya Janata Party,KALI CHARAN MUNDA,Indian National Congress,92248,Result Declared,KARIA MUNDA,Bharatiya Janata Party
Kodarma,5,ANNPURNA DEVI,Bharatiya Janata Party,BABU LAL MARANDI,Jharkhand Vikas Morcha (Prajatantrik),98654,Result Declared,RAVINDRA KR. RAY,Bharatiya Janata Party
Lohardaga,12,SUDARSHAN BHAGAT,Bharatiya Janata Party,SUKHDEO BHAGAT,Indian National Congress,6489,Result Declared,SUDARSHAN BHAGAT,Bharatiya Janata Party
Bagalkot,3,Gaddigoudar Parvatagouda Chandanagouda,Bharatiya Janata Party,Veena Kashappanavar,Indian National Congress,116560,Result Declared,GADDIGOUDAR PARVTAGOUDA CHANDANAGOUDA,Bharatiya Janata Party
Bangalore central,25,P. C. Mohan,Bharatiya Janata Party,Rizwan Arshad,Indian National Congress,137500,Result Declared,P.C. MOHAN,Bharatiya Janata Party
Bangalore North,24,D.V. Sadananda Gowda,Bharatiya Janata Party,Krishna Byregowda,Indian National Congress,229764,Result Declared,D.V SADANANDA GOWDA,Bharatiya Janata Party
Bangalore Rural,23,D.K. SURESH,Indian National Congress,ASHWATHNARAYANGOWDA,Bharatiya Janata Party,231480,Result Declared,D K SURESH,Indian National Congress
Bangalore South,26,TEJASVI SURYA,Bharatiya Janata Party,B.K.HARIPRASAD,Indian National Congress,228575,Result Declared,ANANTH KUMAR,Bharatiya Janata Party
Belgaum,2,ANGADI SURESH CHANNABASAPPA,Bharatiya Janata Party,Dr.SADHUNAVAR,Indian National Congress,75860,Result Declared,ANGADI SURESH CHANNABASAPPA,Bharatiya Janata Party
Bellary,9,Y. DEVENDRAPPA,Bharatiya Janata Party,V. S. UGRAPPA,Indian National Congress,85144,Result Declared,B. SREERAMULU,Bharatiya Janata Party
Bidar,7,BHAGWANTH KHUBA,Bharatiya Janata Party,ESHWAR B. KHANDRE,Indian National Congress,92222,Result Declared,BHAGWANTH KHUBA,Bharatiya Janata Party
Bijapur,4,JIGAJINAGI RAMESH CHANDAPPA,Bharatiya Janata Party,DR. SUNITA DEVANAND CHAVAN,Janata Dal  (Secular),69819,Result Declared,RAMESH JIGAJINAGI,Bharatiya Janata Party
Chamarajanagar,22,V. SRINIVAS PRASAD,Bharatiya Janata Party,R. DHRUVANARAYANA,Indian National Congress,141182,Result Declared,R. DHRUVANARAYANA,Indian National Congress
Alappuzha,15,Adv. A M ARIFF,Communist Party of India  (Marxist),Adv. SHANIMOL OSMAN,Indian National Congress,19407,Result Declared,K C VENUGOPAL,Indian National Congress
Alathur ,9,RAMYA HARIDAS,Indian National Congress,DR. P.K.BIJU,Communist Party of India  (Marxist),37312,Result Declared,P.K.BIJU,Communist Party of India  (Marxist)
Attingal,19,Adv. ADOOR PRAKASH,Indian National Congress,Dr. A. SAMPATH,Communist Party of India  (Marxist),69378,Result Declared,DR.A .SAMPATH,Communist Party of India  (Marxist)
Chalakudy,11,BENNY BEHANAN,Indian National Congress,INNOCENT,Communist Party of India  (Marxist),13884,Result Declared,INNOCENT,Independent
Ernakulam,12,HIBI EDEN,Indian National Congress,P RAJEEV,Communist Party of India  (Marxist),87047,Result Declared,PROF. K.V. THOMAS,Indian National Congress
Idukki,13,Adv. DEAN KURIAKOSE,Indian National Congress,"Adv, JOICE GEORGE",Independent,50542,Result Declared,ADV.JOICE GEORGE,Independent
Kannur,2,K. SUDHAKARAN,Indian National Congress,P. K. SREEMATHI TEACHER,Communist Party of India  (Marxist),6566,Result Declared,P K SREEMATHI TEACHER,Communist Party of India  (Marxist)
Kasaragod,1,Rajmohan Unnithan,Indian National Congress,K. P. Sathishchandran,Communist Party of India  (Marxist),6921,Result Declared,P KARUNAKARAN,Communist Party of India  (Marxist)
Kollam,18,N.K.Premachandran,Revolutionary Socialist Party,K.N.Balagopal,Communist Party of India  (Marxist),37649,Result Declared,N.K.PREMACHANDRAN,Revolutionary Socialist Party
Kottayam,14,Thomas Chazhikadan,Kerala Congress  (M),V.N. Vasavan,Communist Party of India  (Marxist),120599,Result Declared,JOSE K. MANI,Kerala Congress  (M)
Lakshadweep,1,MOHAMMED FAIZAL PP,Nationalist Congress Party,HAMDULLAH SAYEED,Indian National Congress,1535,Result Declared,MOHAMMED FAIZAL P.P.,Nationalist Congress Party
BALAGHAT,15,DR DHAL SINGH BISEN,Bharatiya Janata Party,MADHU BHAGAT,Indian National Congress,96041,Result Declared,BODHSINGH BHAGAT,Bharatiya Janata Party
BETUL,29,DURGA DAS (D.D.) UIKEY,Bharatiya Janata Party,RAMU TEKAM (ADVOCATE),Indian National Congress,328614,Result Declared,JYOTI DHURVE,Bharatiya Janata Party
BHIND,2,SANDHYA RAY,Bharatiya Janata Party,DEVASHISH,Indian National Congress,159961,Result Declared,DR. BHAGIRATH PRASAD,Bharatiya Janata Party
BHOPAL,19,SADHVI PRAGYA SINGH THAKUR,Bharatiya Janata Party,DIGVIJAYA SINGH,Indian National Congress,370696,Result Declared,ALOK SANJAR,Bharatiya Janata Party
CHHINDWARA,16,NAKUL KAMAL NATH,Indian National Congress,NATHANSAHA KAWRETI,Bharatiya Janata Party,116537,Result Declared,KAMAL NATH,Indian National Congress
DAMOH,7,PRAHALAD SINGH PATEL,Bharatiya Janata Party,PRATAP SINGH,Indian National Congress,213299,Result Declared,PRAHALAD SINGH PATEL,Bharatiya Janata Party
DEWAS,21,MAHENDRA SINGH SOLANKY,Bharatiya Janata Party,PRAHLAD SINGH TIPANYA,Indian National Congress,260313,Result Declared,MANOHAR UNTWAL,Bharatiya Janata Party
DHAR,25,CHATTARSINGH DARBAR,Bharatiya Janata Party,GIRWAL DINESH,Indian National Congress,104328,Result Declared,SAVITRI THAKUR,Bharatiya Janata Party
GUNA,4,"KRISHNA PAL SINGH ""Dr. K. P. YADAV""",Bharatiya Janata Party,JYOTIRADITYA M. SCINDIA,Indian National Congress,120792,Result Declared,JYOTIRADITYA M SCINDIA,Indian National Congress
