STATE,PC NO,PC NAME,PC NAME Processed,NO. OF AC SEGMENTS,NO. OF POLLING STATION,ELECTORS,AVG. NO OF ELECTORS PER POLLING STATION,NOMINATIONS,CONTESTENTS,FORFIETED DEPOSITS,VOTERS,VOTERS TURN OUT (IN %),
Bihar,10,Kishanganj,Kishanganj,6,1365,1438990,1054,11,10,8,928499,60.51,
Jharkhand,5,Kodarma,Kodarma,6,2172,1639645,755,21,20,18,1024939,76.09,
Assam,5,Kokrajhar,Kokrajhar,10,2049,1505472,735,9,6,3,1224243,76.09,
Karnataka,28,Kolar,Kolar,8,2041,1492977,731,33,22,19,1127340,83.48,
Maharashtra,47,Kolhapur,Kolhapur,6,1997,1758293,880,29,15,13,1261018,77.43,
West Bengal,23,Kolkata Dakshin,Kolkata Dakshin,7,2001,1685296,842,15,15,12,1168467,77.68,
West Bengal,24,Kolkata Uttar,Kolkata Uttar,7,1859,1433985,771,20,18,15,956148,82.63,
Kerala,18,Kollam,Kollam,7,1119,1219202,1090,16,11,9,879228,71.82,
Karnataka,8,Koppal,Koppal,8,1836,1535105,836,20,16,14,1007430,53.06,
Odisha,21,Koraput ,Koraput ,7,1703,1300437,764,9,9,7,990657,67.53,
Chhattisgarh,4,KORBA,Korba,8,1825,1423729,780,32,24,22,1052839,69.11,
Rajasthan,24,Kota,Kota,8,2010,1744539,868,15,12,10,1155972,82.63,
Kerala,14,Kottayam,Kottayam,7,1088,1161267,1068,15,11,9,832421,81.27,
Kerala,5,Kozhikode,Kozhikode,7,1003,1181909,1179,23,13,11,943227,76.09,
Tamil Nadu,9,Krishnagiri,Krishnagiri,6,1620,1379957,852,38,15,12,1069343,53.30,
West Bengal,12,Krishnanagar,Krishnanagar,7,1800,1476783,820,10,9,6,1248695,75.55,
Andhra Pradesh,35,Kurnool,Kurnool,7,1571,1481791,943,16,12,10,1068070,72.08,
Haryana,2,Kurukshetra,Kurukshetra,9,1542,1498459,972,36,22,19,1136173,71.93,
Uttar Pradesh,65,Kushi Nagar,Kushi Nagar,5,1661,1680992,1012,20,14,12,950792,56.42,
Jammu & Kashmir,4,Ladakh,Ladakh,4,531,166763,314,9,4,0,119068,69.11,
Assam,14,Lakhimpur,Lakhimpur,9,1921,1431080,745,14,13,11,1112670,81.27,
Lakshadweep,1,Lakshadweep,Lakshadweep,1,44,49922,1135,9,6,4,43242,76.15,
Uttar Pradesh,68,Lalganj,Lalganj,5,1637,1661470,1015,16,14,11,899548,64.52,
Maharashtra,41,Latur ,Latur ,6,1898,1686957,889,30,18,16,1057579,78.05,
Jharkhand,12,Lohardaga,Lohardaga,5,1482,1119144,755,10,9,6,651639,75.55,
Uttar Pradesh,35,Lucknow,Lucknow,5,1728,1949956,1128,57,29,27,1034698,72.08,
Punjab,7,Ludhiana,Ludhiana,9,1653,1561173,944,30,22,18,1101967,51.05,
Uttar Pradesh,74,Machhlishahr,Machhlishahr,5,1874,1891969,1010,28,15,12,997913,59.12,
Andhra Pradesh,28,Machilipatnam ,Machilipatnam ,7,1538,1369311,890,14,11,9,1143048,83.48,
Maharashtra,43,Madha,Madha,6,1922,1727322,899,35,24,22,1080167,75.60,
Bihar,13,Madhepura,Madhepura,6,1604,1725693,1076,16,12,9,1034799,79.75,
Bihar,6,Madhubani,Madhubani,6,1491,1627832,1092,12,11,9,860469,77.70,
Tamil Nadu,32,Madurai,Madurai,6,1476,1441434,977,60,31,29,976385,85.16,
